YYYYMMDD HH:MM:SS,MMDD HH,ICM-Hydro compartment->,346,347,348,349,350,351,352,353,354,384,498,572,703,705,726,979,1335,1337,1338,1421,1422,1424
20100104 03:00:00,0104 03,1/4/10 3:00,-0.04381703,-0.082713466,-0.108644423,-0.13457538,-0.173471816,-0.173471816,-0.123370502,-0.073269187,-0.073269187,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.018050981,0.018050981,0.0621,0.0621,0.018050981,0.018050981
20100104 04:00:00,0104 04,1/4/10 4:00,0.002237107,-0.047060429,-0.079925454,-0.112790478,-0.162088014,-0.162088014,-0.084699635,-0.007311255,-0.007311255,0.22,0.22,0.22,0.22,0.22,0.22,0.22,0.000750894,0.000750894,0.0555,0.0555,0.000750894,0.000750894
20100104 05:00:00,0104 05,1/4/10 5:00,0.062779256,-0.00073075,-0.043070754,-0.085410757,-0.148920763,-0.148920763,-0.064446689,0.020027386,0.020027386,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.01451842,-0.01451842,0.0338,0.0338,-0.01451842,-0.01451842
20100104 06:00:00,0104 06,1/4/10 6:00,0.074190978,-0.006460098,-0.060227482,-0.113994866,-0.194645942,-0.194645942,-0.072091788,0.050462367,0.050462367,0.2,0.2,0.2,0.2,0.2,0.2,0.2,-0.023628876,-0.023628876,0.0513,0.0513,-0.023628876,-0.023628876
20100104 07:00:00,0104 07,1/4/10 7:00,0.140519286,0.063400088,0.01198729,-0.039425509,-0.116544707,-0.116544707,-0.002905452,0.110733803,0.110733803,0.24,0.24,0.24,0.24,0.24,0.24,0.24,7.87E-05,7.87E-05,0.0404,0.0404,7.87E-05,7.87E-05
20100104 08:00:00,0104 08,1/4/10 8:00,0.175860238,0.089312074,0.031613298,-0.026085478,-0.112633642,-0.112633642,-0.010844355,0.090944933,0.090944933,0.25,0.25,0.25,0.25,0.25,0.25,0.25,-0.035457758,-0.035457758,0.0187,0.0187,-0.035457758,-0.035457758
20100104 09:00:00,0104 09,1/4/10 9:00,0.217221877,0.114308588,0.045699728,-0.022909132,-0.125822421,-0.125822421,-0.009894832,0.106032756,0.106032756,0.24,0.24,0.24,0.24,0.24,0.24,0.24,0.024899591,0.024899591,0.0214,0.0214,0.024899591,0.024899591
20100104 10:00:00,0104 10,1/4/10 10:00,0.247170199,0.136537923,0.062783072,-0.010971779,-0.121604055,-0.121604055,0.00538429,0.132372635,0.132372635,0.19,0.19,0.19,0.19,0.19,0.19,0.19,0.050265296,0.050265296,0.0515,0.0515,0.050265296,0.050265296
20100104 11:00:00,0104 11,1/4/10 11:00,0.263686102,0.144932769,0.065763881,-0.013405007,-0.13215834,-0.13215834,0.001013537,0.134185413,0.134185413,0.13,0.13,0.13,0.13,0.13,0.13,0.13,0.050334646,0.050334646,0.0538,0.0538,0.050334646,0.050334646
20100104 12:00:00,0104 12,1/4/10 12:00,0.186578779,0.080327017,0.009492509,-0.061342,-0.167593762,-0.167593762,-0.009767155,0.148059452,0.148059452,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.073641809,0.073641809,0.0513,0.0513,0.073641809,0.073641809
