ICM_ID,new_area_m2,old_area_m2,new-old,old_comp_to_use_for_new_rain
557,48588800,48588800,0,557
558,17759200,17759200,0,558
559,5805740,5805740,0,559
560,27868700,27868700,0,560
561,46758700,46758700,0,561
562,36119500,36119500,0,562
563,32747500,32747500,0,563
564,18063500,18063500,0,564
565,9288480,9296150,-7670,565
566,36239000,36239000,0,566
567,28023100,28023100,0,567
568,142445000,142445000,0,568
569,23550600,23550600,0,569
570,32609400,32609400,0,570
571,42454400,42454400,0,571
572,614240000,614240000,0,572
573,52172100,52172100,0,573
574,19138000,19138000,0,574
575,21134200,21134200,0,575
576,45247000,45247000,0,576
577,611645,611645,0,577
578,22842800,22842800,0,578
579,14121300,14121300,0,579
580,13356700,13356700,0,580
581,13061000,13061000,0,581
582,66918500,66918500,0,582
583,36822500,36822500,0,583
584,25558900,25558900,0,584
585,192255000,192255000,0,585
586,76812500,76812500,0,586
587,40768300,40768300,0,587
588,70799900,70799900,0,588
589,80146300,80146300,0,589
590,23380500,23380500,0,590
591,67106300,67106300,0,591
592,12863800,12863800,0,592
593,7476600,7476600,0,593
594,7175420,7175420,0,594
595,10364400,10364400,0,595
596,27328500,27328500,0,596
597,18380500,18380500,0,597
598,922188,922188,0,598
599,8689760,8689760,0,599
600,11138600,11138600,0,600
601,4711870,4711870,0,601
602,9699500,9699500,0,602
603,14080600,14080600,0,603
604,16389700,16389700,0,604
605,5323790,5323790,0,605
606,9222930,9222930,0,606
607,17081500,17081500,0,607
608,5747590,5747590,0,608
609,14698100,14698100,0,609
610,10405500,10405500,0,610
611,10451400,8629670,1821730,611
612,18733800,18733800,0,612
613,7718470,7718470,0,613
614,14220000,14220000,0,614
615,12195900,12195900,0,615
616,24545400,24545400,0,616
617,17787700,17787700,0,617
618,25518100,25518100,0,618
619,12122900,12122900,0,619
620,8272330,8272330,0,620
621,8285760,8285760,0,621
622,6359210,6359210,0,622
623,4151310,4151310,0,623
624,9922660,9922660,0,624
625,2259550,4048990,-1789440,625
626,8761580,8761580,0,626
627,12699300,12699300,0,627
628,11540400,11540400,0,628
629,11554500,11554500,0,629
630,2528040,2528040,0,630
631,12094500,12094500,0,631
632,5372440,5372440,0,632
633,11772800,11772800,0,633
634,21876900,24514100,-2637200,634
635,15530300,15000100,530200,635
636,77829400,77829400,0,636
637,1925540,1925540,0,637
638,64431700,64431700,0,638
639,55971900,64482400,-8510500,639
640,17890500,17890600,-100,640
641,26423900,32387100,-5963200,641
642,65564400,65564400,0,642
643,26313400,26313400,0,643
644,25269100,25269100,0,644
645,14846700,14846700,0,645
646,24676400,24676400,0,646
647,48836000,55486700,-6650700,647
648,8849610,7864590,985020,648
649,22806000,22806000,0,649
650,13435200,13435200,0,650
651,1207150,1207150,0,651
652,14702400,14702400,0,652
653,5416210,5416210,0,653
654,1521680,1521680,0,654
655,35400000,35400000,0,655
656,28307100,28307100,0,656
657,15527500,15527500,0,657
658,48995100,48995100,0,658
659,29277600,29277600,0,659
660,22610900,22610900,0,660
661,5385750,5385750,0,661
662,31420400,31420400,0,662
663,11995600,11995600,0,663
664,19741000,19741000,0,664
665,34812800,34812800,0,665
666,16777000,16777000,0,666
667,107397000,107397000,0,667
668,5067120,5067120,0,668
669,3468690,3468690,0,669
670,33470300,33470300,0,670
671,309931000,309931000,0,671
672,15976500,15976500,0,672
673,20272400,20272400,0,673
674,63445200,63445200,0,674
675,9260500,9260500,0,675
676,12075800,12075800,0,676
677,414900000,414900000,0,677
678,40268000,40268000,0,678
679,13645000,13645000,0,679
680,14503400,14503400,0,680
681,47975100,47975100,0,681
682,176730000,176730000,0,682
683,8429280,8429280,0,683
684,20053200,20053200,0,684
685,31860500,31860500,0,685
686,8013710,8013710,0,686
687,14262100,14262100,0,687
688,2600330,2600330,0,688
689,16561500,16561500,0,689
690,8530990,8530990,0,690
691,2561110,2561110,0,691
692,1994520,1994520,0,692
693,18694500,18694500,0,693
694,143946000,143946000,0,694
695,2565340,2565340,0,695
696,97170000,97170000,0,696
697,14153300,14153300,0,697
698,3433830,3433830,0,698
699,2630800,2630800,0,699
700,1648900,1648900,0,700
701,30486600,60469800,-29983200,701
702,447788000,447788000,0,702
703,677510000,677510000,0,703
704,23170200,23170200,0,704
705,744719000,744719000,0,705
706,111678000,111678000,0,706
707,412995000,412995000,0,707
708,8096130,8096130,0,708
709,16395400,16395400,0,709
710,117549000,112840000,4709000,710
711,5920470,5920470,0,711
712,12443200,12443200,0,712
713,130042000,130042000,0,713
714,425216000,425216000,0,714
715,84494500,84367900,126600,715
716,7833570,7833570,0,716
717,12616900,12616900,0,717
718,9800310,9800310,0,718
719,12861800,70471800,-57610000,719
720,8654250,8654250,0,720
721,52597000,52597000,0,721
722,59088400,59088400,0,722
723,26782000,35548100,-8766100,723
724,14864900,14864900,0,724
725,8849560,8849560,0,725
726,844461000,844461000,0,726
